engine_version,ticker,strategy,strategy_parameters,sample,start_date,end_date,source_sha256,repaired_range_fields,initial_balance,risk_pct,contract_multiplier,tick_size,commission_per_contract,slippage_ticks,max_leverage,sharpe_ratio,max_drawdown_pct,cagr_pct,total_return_pct,exposure_pct,num_trades,profit_factor,total_costs
0.2.0,ZS=F,2B Rule,lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,5abcdbc6c17ba1c1e5dd510a7b2f4b185c017bd0b863985c943c8f111cf4c5e4,847,100000.0,0.02,50,0.25,2.5,1,20.0,-0.42,-81.44,-16.92,-78.44,34.6,179,0.5,3030.0
0.2.0,ZS=F,2B Rule (scaled),lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,5abcdbc6c17ba1c1e5dd510a7b2f4b185c017bd0b863985c943c8f111cf4c5e4,847,100000.0,0.02,50,0.25,2.5,1,20.0,-0.48,-39.96,-5.65,-38.2,18.0,126,0.32,1445.0
0.2.0,ZS=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-03-20,2017-12-29,5abcdbc6c17ba1c1e5dd510a7b2f4b185c017bd0b863985c943c8f111cf4c5e4,847,100000.0,0.02,50,0.25,2.5,1,20.0,0.48,-45.39,9.12,332.31,50.2,210,1.38,11105.0
0.2.0,ZS=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-03-20,2017-12-29,5abcdbc6c17ba1c1e5dd510a7b2f4b185c017bd0b863985c943c8f111cf4c5e4,847,100000.0,0.02,50,0.25,2.5,1,20.0,0.52,-21.44,5.18,133.19,44.6,220,1.74,3100.0
0.2.0,ZS=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,5abcdbc6c17ba1c1e5dd510a7b2f4b185c017bd0b863985c943c8f111cf4c5e4,847,100000.0,0.02,50,0.25,2.5,1,20.0,-0.17,-52.46,-3.82,-27.54,36.8,94,0.78,1350.0
0.2.0,ZS=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,5abcdbc6c17ba1c1e5dd510a7b2f4b185c017bd0b863985c943c8f111cf4c5e4,847,100000.0,0.02,50,0.25,2.5,1,20.0,-0.55,-24.83,-2.67,-20.05,14.6,62,0.36,720.0
0.2.0,KC=F,2B Rule,lookback=20;confirmation_days=3,development,2000-02-01,2017-12-29,d2f20b382db74b18fb4fa9544245757ec77fdd0a80d922ad94b31089870efac2,704,100000.0,0.02,375,0.05,2.5,1,20.0,0.28,-85.31,3.64,89.6,56.7,545,1.04,22190.0
0.2.0,KC=F,2B Rule (scaled),lookback=20;confirmation_days=3,development,2000-02-01,2017-12-29,d2f20b382db74b18fb4fa9544245757ec77fdd0a80d922ad94b31089870efac2,704,100000.0,0.02,375,0.05,2.5,1,20.0,0.27,-47.42,2.62,58.91,27.6,351,1.22,4575.0
0.2.0,KC=F,2B Rule,lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,d2f20b382db74b18fb4fa9544245757ec77fdd0a80d922ad94b31089870efac2,704,100000.0,0.02,375,0.05,2.5,1,20.0,0.05,-45.77,-1.78,-13.82,31.0,162,0.94,2570.0
0.2.0,KC=F,2B Rule (scaled),lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,d2f20b382db74b18fb4fa9544245757ec77fdd0a80d922ad94b31089870efac2,704,100000.0,0.02,375,0.05,2.5,1,20.0,-0.0,-15.75,-0.24,-1.96,8.7,61,0.95,855.0
